,User_ID,Time,App Name,Duration,Lat,Long
0,1,1575502935.0,App Usage,181,,
1,1,1575502918.0,Discord,7,,
2,1,1575502913.0,YouTube,5,,
3,1,1575502723.0,Slack,190,,
4,1,1575501628.0,YouTube,1095,,
5,1,1575501609.0,Chrome,19,,
6,1,1575501579.0,Slack,30,,
7,1,1575501558.0,Chrome,18,,
8,1,1575501556.0,Boost,1,,
9,1,1575501551.0,Chrome,4,,
10,1,1575501314.0,YouTube,235,,
11,1,1575500937.0,WEBTOON,374,,
12,1,1575500931.0,YouTube,5,,
13,1,1575500928.0,WEBTOON,2,,
14,1,1575500748.0,YouTube,175,,
15,1,1575500743.0,Screen on (locked),1,,
16,1,1575500505.0,Screen off,238,,
17,1,1575500492.0,Screen on (locked),1,,
18,1,1575499546.0,Screen off,945,,
19,1,1575499544.0,YouTube,2,,
20,1,1575499543.0,Screen on (unlocked),1,,
21,1,1575499543.0,Screen on (locked),1,,
22,1,1575499313.0,Screen off,230,,
23,1,1575498914.0,YouTube,399,45.7784833,4.873338400000001
24,1,1575498912.0,I Can't Wake Up! Alarm Clock,2,45.7784833,4.873338400000001
25,1,1575498904.0,YouTube,7,45.7784833,4.873338400000001
26,1,1575498896.0,WhatsApp,7,45.7784833,4.873338400000001
27,1,1575498895.0,Drive,1,45.7784833,4.873338400000001
28,1,1575498892.0,WhatsApp,3,45.7784833,4.873338400000001
29,1,1575498889.0,SMS/MMS,3,45.7784833,4.873338400000001
30,1,1575498887.0,WhatsApp,1,45.7784833,4.873338400000001
31,1,1575498886.0,Screen on (unlocked),1,45.7784833,4.873338400000001
32,1,1575498880.0,Screen off,6,45.7784833,4.873338400000001
33,1,1575498879.0,WhatsApp,1,45.7784833,4.873338400000001
34,1,1575498875.0,Discord,4,45.7784833,4.873338400000001
35,1,1575498872.0,WhatsApp,3,45.7784833,4.873338400000001
36,1,1575498870.0,Chrome,2,45.7784833,4.873338400000001
37,1,1575498868.0,Screen on (locked),1,45.7784833,4.873338400000001
38,1,1575498443.0,Screen off,425,45.7784657,4.873362650000001
39,1,1575498415.0,Chrome,28,45.778448100000006,4.873386900000001
40,1,1575498404.0,Discord,12,45.778448100000006,4.873386900000001
41,1,1575498402.0,Instagram,2,45.778448100000006,4.873386900000001
42,1,1575498401.0,Screen on (unlocked),1,45.778448100000006,4.873386900000001
43,1,1575496924.0,Screen off,1476,45.778448100000006,4.873386900000001
44,1,1575496914.0,Screen on (locked),10,45.778448100000006,4.873386900000001
45,1,1575495987.0,Screen off,927,45.778448100000006,4.873386900000001
46,1,1575495985.0,Instagram,3,45.778448100000006,4.873386900000001
47,1,1575495982.0,Screen on (locked),3,45.778448100000006,4.873386900000001
48,1,1575495691.0,Screen off,290,45.778448100000006,4.873386900000001
